tree,d_10_1st,d_10_2nd,d_10_3rd,d_10_4th,d_10_5th,d_10_6th,d_10_7th,d_10_8th,d_10_9th,d_10_10th,height,status,stem
1,18.8,,,,,,,,,,750,a,s
2,10.2,,,,,,,,,,540,a,s
3,15.7,,,,,,,,,,450,a,s
4,8.5,4.5,6,,,,,,,,420,a,m
5,15.6,,,,,,,,,,612,a,s
6,13.1,,,,,,,,,,570,a,s
7,6.5,7,,,,,,,,,410,a,m
8,21.8,,,,,,,,,,760,a,s
9,18.8,,,,,,,,,,780,a,s
10,19,,,,,,,,,,690,a,s
11,13.5,,,,,,,,,,550,a,s
12,4,17,,,,,,,,,710,a,m
13,17.5,8,5,5.5,,,,,,,710,a,m
14,18.4,12.5,9.8,,,,,,,,750,a,m
15,11.3,18,6,,,,,,,,750,a,m
16,5,6,7,15.3,,,,,,,740,a,m
17,8,24,,,,,,,,,710,a,m
18,21.1,,,,,,,,,,670,a,s
19,16,,,,,,,,,,560,a,s
20,8.6,,,,,,,,,,480,a,s
21,10.2,,,,,,,,,,463,a,s
22,9.7,,,,,,,,,,490,a,s
23,8.4,,,,,,,,,,410,a,s
24,8.9,,,,,,,,,,590,a,s
25,10,,,,,,,,,,555,a,s
26,8,10.3,,,,,,,,,590,a,m
27,13.5,,,,,,,,,,610,a,s
28,22.5,,,,,,,,,,610,a,s
29,12.2,,,,,,,,,,450,a,s
30,13.5,,,,,,,,,,500,a,s
31,16.5,,,,,,,,,,653,a,s
32,11,10.5,,,,,,,,,470,a,m
33,28.4,,,,,,,,,,653,a,s
34,18.7,,,,,,,,,,570,a,s
35,9.6,,,,,,,,,,520,a,s
36,8.9,9.7,,,,,,,,,530,a,m
37,10.8,,,,,,,,,,510,a,s
38,3,11,,,,,,,,,510,a,m
39,8.2,13.6,8,,,,,,,,510,a,m
40,22.9,,,,,,,,,,600,a,s
41,23,,,,,,,,,,830,a,s
42,13.6,,,,,,,,,,590,a,s
43,8,,,,,,,,,,520,a,s
44,9.9,,,,,,,,,,610,a,s
45,17.9,,,,,,,,,,770,a,s
46,19.8,5.5,,,,,,,,,840,a,m
47,37.3,,,,,,,,,,820,a,s
48,9.7,11,9.7,,,,,,,,550,a,m
49,3,9.7,,,,,,,,,510,a,m
50,20.7,10,,,,,,,,,664,a,m
51,7.5,5,,,,,,,,,560,a,m
52,13.8,12.6,,,,,,,,,590,a,m
53,26.4,,,,,,,,,,630,a,s
54,19.5,,,,,,,,,,540,a,s
55,10.3,,,,,,,,,,580,a,s
56,13.2,,,,,,,,,,580,a,s
57,4,11.2,,,,,,,,,510,a,m
58,5,10.8,9.3,,,,,,,,520,a,m
59,8,,,,,,,,,,570,a,s
60,33.4,,,,,,,,,,800,a,s
61,16.3,10,,,,,,,,,580,a,m
62,13.8,19.4,,,,,,,,,623,a,m
63,18.8,,,,,,,,,,723,a,s
64,22.9,,,,,,,,,,623,a,s
65,8.5,,,,,,,,,,,d,s
66,5,3,,,,,,,,,,d,m
67,7.5,,,,,,,,,,,d,s
68,5,5,4.5,,,,,,,,,d,m
69,2,3,,,,,,,,,,d,m
70,4,,,,,,,,,,,d,s
71,18,20,,,,,,,,,,d,m
72,2.5,3.5,,,,,,,,,,d,m
73,29.9,,,,,,,,,,,d,s
74,6,,,,,,,,,,,d,s
75,5.5,,,,,,,,,,,d,s
76,6,,,,,,,,,,,d,s
77,4,,,,,,,,,,,d,s
78,1,3,6.8,4,,,,,,,,d,m
79,3,5,,,,,,,,,,d,m
80,8.5,6,,,,,,,,,,d,m
81,4,4,7,6,,,,,,,,d,m
82,10,,,,,,,,,,,d,s
83,7,6,,,,,,,,,,d,m
84,4,14.8,17.1,4.5,,,,,,,,d,m
85,7.5,6.1,,,,,,,,,,d,m
86,8,4.5,,,,,,,,,,d,m
87,7.5,,,,,,,,,,,d,s
88,8,,,,,,,,,,,d,s
89,7.5,,,,,,,,,,,d,s
90,8,,,,,,,,,,,d,s
91,8.5,,,,,,,,,,,d,s
92,8.5,,,,,,,,,,,d,s
93,8.5,,,,,,,,,,,d,s
94,11.3,,,,,,,,,,,d,s
95,9.8,,,,,,,,,,,d,s
96,18.4,,,,,,,,,,,d,s
97,4,,,,,,,,,,,d,s
98,5,,,,,,,,,,,d,s
99,3,7.5,,,,,,,,,,d,m
100,4,4.5,,,,,,,,,,d,m
101,6.5,4.7,4.5,,,,,,,,,d,m
102,2,2.5,,,,,,,,,,d,m
103,10.5,,,,,,,,,,,d,s
104,1,2,,,,,,,,,,d,m
105,3,,,,,,,,,,,d,s
106,4,,,,,,,,,,,d,s
107,13.6,,,,,,,,,,,d,s
108,13.7,,,,,,,,,,,d,s
109,2,,,,,,,,,,,d,s
110,4,,,,,,,,,,,d,s
111,3.5,4,,,,,,,,,,d,m
112,9.3,,,,,,,,,,,d,s
113,6,,,,,,,,,,,d,s
114,9.4,,,,,,,,,,,d,s
115,6.1,,,,,,,,,,,d,s
116,9.4,,,,,,,,,,,d,s
117,9.8,,,,,,,,,,,d,s
118,6.5,,,,,,,,,,,d,s
119,5.5,,,,,,,,,,,d,s
120,5.5,,,,,,,,,,,d,s
121,8,,,,,,,,,,,d,s
122,9,,,,,,,,,,,d,s
123,10.3,,,,,,,,,,,d,s
124,10.4,,,,,,,,,,,d,s
125,7.9,,,,,,,,,,,d,s
126,7.8,8.7,,,,,,,,,,d,m
127,8,,,,,,,,,,,d,s
128,4,,,,,,,,,,,d,s
129,11,,,,,,,,,,,d,s
130,14.70,,,,,,,,,,,d,s
131,15,,,,,,,,,,,d,s
132,9.9,9.9,,,,,,,,,,d,m
133,12.2,5.5,,,,,,,,,,d,m
134,3,,,,,,,,,,,d,s
135,7.5,7,,,,,,,,,,d,m
136,6,,,,,,,,,,,d,s
137,7,,,,,,,,,,,d,s
138,8,10.3,,,,,,,,,,d,m
139,6.5,,,,,,,,,,,d,s
140,8.4,,,,,,,,,,,d,s
141,12,,,,,,,,,,,d,s
142,10.5,,,,,,,,,,,d,s
143,4,,,,,,,,,,,d,s
144,5,,,,,,,,,,,d,s
145,8.5,,,,,,,,,,,d,s
146,6,,,,,,,,,,,d,s
147,7.1,,,,,,,,,,,d,s
148,3,,,,,,,,,,,d,s
149,2,,,,,,,,,,,d,s
150,3,3,,,,,,,,,,d,m
151,4,,,,,,,,,,,d,s
152,18.4,,,,,,,,,,,d,s
153,7.1,,,,,,,,,,,d,s
154,5,,,,,,,,,,,d,s
155,4,,,,,,,,,,,d,s
156,4,,,,,,,,,,,d,s
157,7.4,,,,,,,,,,,d,s
158,2.5,,,,,,,,,,,d,s
159,3.5,,,,,,,,,,,d,s
160,4,,,,,,,,,,,d,s
161,5,,,,,,,,,,,d,s
162,2,,,,,,,,,,,d,s
163,3,,,,,,,,,,,d,s
164,6,,,,,,,,,,,d,s
165,5.5,,,,,,,,,,,d,s
166,16.8,8,,,,,,,,,,d,m
167,4.5,14.8,,,,,,,,,,d,m
168,19.6,,,,,,,,,,,d,s
169,4.5,,,,,,,,,,,d,s
170,2.5,4,,,,,,,,,,d,m
171,4,,,,,,,,,,,d,s
172,5.5,,,,,,,,,,,d,s
173,4,5,,,,,,,,,,d,m
174,2.5,,,,,,,,,,,d,s
175,4,,,,,,,,,,,d,s
176,7,,,,,,,,,,,d,s
177,3.5,,,,,,,,,,,d,s
178,36.2,,,,,,,,,,710,a,s
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
